iteration,sse
0,1704495.120001
1,560500.998940
2,396211.033254
3,328541.242504
4,293133.169425
5,270499.109830
6,254870.234065
7,244341.841578
8,235301.111486
9,229028.869912
10,224046.851079
11,219855.757647
12,215720.374568
13,212377.360027
14,209293.429524
15,206725.949546
16,204396.841923
17,202269.263809
18,200801.033669
19,199201.199757
20,197940.412551
21,196837.903465
22,195934.663575
23,195265.453456
24,194706.241096
25,194145.496122
26,193545.544986
27,193175.254944
28,192821.077810
29,192693.025827
30,192477.539848
31,192228.423897
32,191964.069269
33,191790.103229
34,191730.983684
35,191730.983684
